[SYS] 2024/03/27 - 06:25:05 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:05 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:05 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
[SYS] 2024/03/27 - 06:25:06 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:06 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:06 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
[SYS] 2024/03/27 - 06:25:08 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:08 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:08 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
[SYS] 2024/03/27 - 06:25:09 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:09 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:09 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
[SYS] 2024/03/27 - 06:25:10 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:10 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:10 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
[SYS] 2024/03/27 - 06:25:13 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:13 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:13 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
[SYS] 2024/03/27 - 06:25:16 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:16 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:16 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
[SYS] 2024/03/27 - 06:25:24 | One API v0.6.4-alpha.1 started 
[SYS] 2024/03/27 - 06:25:24 | using MySQL as database 
[FATAL] 2024/03/27 - 06:25:24 | [dial tcp 172.25.0.4:3306: connect: connection refused] 
